seed,n,m,gamma,theta,lp_objective,round_down_objective,final_objective,l_rd,delta_v_max_theta,l_rd_over_delta,delta_v_max_over_lp_ub,gap_lp,n_gap_lp,certificate_value,certificate_feasible,runtime_total_s,fractional_items,candidate_count_raw,candidate_count_reduced,theta_evaluated_count,theta_skipped_capacity_count,total_hull_rebuilds,lp_highs_objective,lp_highs_abs_diff
1004,30,10,0,40.79410213515222,124247.62895046583,124182.04749870575,124246.70347007787,65.58145176008111,1193.3623942894546,0.05495518551104441,0.009604709597840422,0.0005278285977290292,0.015834857931870876,0.8645450385543425,True,0.12225916699389927,1,195,195,195,0,5850,124247.62895046589,5.820766091346741e-11
1004,30,10,3,36.14744409664507,124081.89196089517,124045.18237769797,124079.02718871768,36.70958319719648,1193.3623942894546,0.030761471429685782,0.009617538670876705,0.00029584964104807193,0.00887548923144216,0.3349363904140574,True,0.11852220799482893,1,195,195,195,0,5850,124081.8919608952,2.9103830456733704e-11
1004,30,10,5,19.495225800752834,123989.86681151307,123946.74820081038,123988.9648727191,43.118610702687874,1193.3623942894546,0.036132034082037016,0.0096246767980127,0.00034775915009438576,0.010432774502831574,4.079139784189721,True,0.11735370798851363,1,195,195,195,0,5850,123989.86681151313,5.820766091346741e-11
1004,60,10,0,48.34528595227893,212340.65757790994,212168.04700446277,212337.4474289936,172.61057344716392,1535.6194109692342,0.11240452693823244,0.007231867078521219,0.0008128945978413547,0.04877367587048129,0.14350821476763898,True,0.4895337080088211,1,381,381,381,0,22860,212340.65757790994,0.0
1004,60,10,6,22.175258398535856,212005.25102536986,211891.78515687215,212002.63720098263,113.46586849770392,1535.6194109692342,0.0738893163808654,0.007243308378175372,0.0005352031043991731,0.03211218626395038,1.518473370072087,True,0.4504719999968074,1,381,381,381,0,22860,212005.25102536986,0.0
1004,60,10,7,21.361560249401542,211973.9974920706,211891.78515687215,211970.7702748772,82.21233519844827,1535.6194109692342,0.05353692106988831,0.007244376334539229,0.0003878416040227935,0.02327049624136761,0.06114305339428938,True,0.4527484169957461,1,381,381,381,0,22860,211973.9974920706,0.0
1004,120,10,0,97.47911485934318,486277.11500048277,486245.7108378316,486274.81943669776,31.404162651160732,1840.6501372033708,0.01706145128637824,0.003785187664448374,6.458079494678575e-05,0.0077496953936142905,2.1818508125042193,True,1.9600536670041038,1,805,805,805,0,96600,486277.11500048265,1.1641532182693481e-10
1004,120,10,10,40.77049895252804,485419.2417483203,485366.6807565522,485418.83060330944,52.56099176808493,1840.6501372033708,0.028555666666748816,0.0037918771628705013,0.00010827958030418726,0.01299354963650247,1.8552471620828328,True,2.030972957989434,1,805,805,805,0,96600,485419.24174832023,5.820766091346741e-11
1004,120,10,12,37.14220356140743,485315.2485749047,485198.20777749596,485313.11610831047,117.0407974087284,1840.6501372033708,0.06358666160564153,0.0037926896849178244,0.0002411644755700769,0.028939737068409226,1.7305064340357603,True,2.0432343749998836,1,805,805,805,0,96600,485315.2485749045,1.7462298274040222e-10
1005,30,10,0,86.23793516439521,104011.22683395304,103886.17097124449,104006.27050925234,125.05586270855565,1081.272444109477,0.11565620060867284,0.010395728201876285,0.0012023304263894413,0.036069912791683235,2.606696478978155,True,0.12154033299884759,1,202,202,202,0,6060,104011.226833953,4.3655745685100555e-11
