seed,n,m,gamma,bnb_status,bnb_objective,bnb_runtime_seconds,bnb_absolute_gap,highs_status,highs_certified,highs_objective,highs_runtime_seconds,bnb_highs_absolute_difference,hullround_objective,hullround_relative_gap_to_bnb,hullround_robust_residual,hullround_certificate_feasible
2002,20,8,4,optimal,83832.35442015702,0.36249700000917073,0.0,OPTIMAL,True,83832.35442015702,0.10150741600955371,0.0,83824.46299873893,9.413336262194511e-05,4.108094886023281,True
2002,30,8,0,optimal,121945.9876167725,0.7096156250045169,0.0,OPTIMAL,True,121945.9876167725,0.05442904100345913,0.0,121943.71525886425,1.8634134280770874e-05,4.341104569143845,True
2002,30,8,3,optimal,121754.91291653924,0.5764611659978982,0.0,OPTIMAL,True,121754.91291653924,0.07388070800516289,0.0,121748.31217279602,5.42133667143054e-05,5.901633627327158,True
2002,30,8,5,optimal,121664.6636274322,0.4553066249936819,0.0,OPTIMAL,True,121664.6636274322,0.02289241699327249,0.0,121656.54444236474,6.673412661801551e-05,1.72658625266763,True
2003,12,8,0,optimal,47323.72153323165,0.101608708006097,0.0,OPTIMAL,True,47323.72153323165,0.009764166999957524,0.0,47276.395212225274,0.001000054929601019,6.945632347609621,True
2003,12,8,1,optimal,47234.77460916757,0.1524224999884609,0.0,OPTIMAL,True,47234.77460916754,0.038706791994627565,2.9103830456733704e-11,47223.098735886386,0.00024718808076879613,12.669533496973706,True
2003,12,8,3,optimal,47164.088889314335,0.09800462500425056,0.0,OPTIMAL,True,47164.088889314335,0.0277160410041688,0.0,47164.088889314335,0.0,3.1775800047817597,True
2003,20,8,0,optimal,84416.32952478658,0.2704403339885175,0.0,OPTIMAL,True,84416.32952478658,0.014889291996951215,0.0,84392.97999311912,0.0002765997029117048,3.0994623867232036,True
2003,20,8,2,optimal,84303.74876193855,0.22034279099898413,0.0,OPTIMAL,True,84303.74876193861,0.03807100000267383,5.820766091346741e-11,84302.67904709448,1.268881704285161e-05,8.461287827476298,True
2003,20,8,4,optimal,84227.32300644195,0.23680583300301805,0.0,OPTIMAL,True,84227.32300644195,0.03298995799559634,0.0,84196.8296831636,0.0003620360019755019,14.681746418171485,True
2003,30,8,0,optimal,127649.32577561948,0.2798844579956494,0.0,OPTIMAL,True,127649.32577561948,0.03831583299324848,0.0,127640.99023222302,6.530033234263086e-05,6.122456977741943,True
2003,30,8,3,optimal,127372.11483807676,0.7862642910040449,0.0,OPTIMAL,True,127372.11483807678,0.14292924999608658,2.9103830456733704e-11,127371.06646432543,8.230794885210956e-06,1.5281137472685487,True
2003,30,8,5,optimal,127288.13991753716,0.5739140829973621,0.0,OPTIMAL,True,127288.13991753718,0.14588954199280124,1.4551915228366852e-11,127278.12267578678,7.869736926682855e-05,1.9423352976047283,True
2004,12,8,0,optimal,55045.66503197804,0.06274912499065977,0.0,OPTIMAL,True,55045.66503197804,0.009763582987943664,0.0,55045.66503197804,0.0,16.787729728103145,True
2004,12,8,1,optimal,55011.231069159854,0.08290904200111981,0.0,OPTIMAL,True,55011.231069159854,0.008959457991295494,0.0,54979.26283460807,0.0005811219623788537,40.673870618371794,True
2004,12,8,3,optimal,54944.82887178988,0.1077765000081854,0.0,OPTIMAL,True,54944.82887178988,0.01739945900044404,0.0,54916.83001228263,0.0005095813397214049,40.01181409236517,True
2004,20,8,0,optimal,76329.0424113407,0.1529339999979129,0.0,OPTIMAL,True,76329.04241134072,0.010658415994839743,1.4551915228366852e-11,76246.75438662613,0.0010780696588740947,31.524885903218767,True
2004,20,8,2,optimal,76141.05127973463,0.2066930000000866,0.0,OPTIMAL,True,76141.05127973463,0.0572267919924343,0.0,76124.11655584764,0.0002224125304598099,7.211163243027045,True
2004,20,8,4,optimal,76059.0355106123,0.17574333300581202,0.0,OPTIMAL,True,76059.0355106123,0.04274850001093,0.0,76059.0355106123,0.0,2.0535567546866957,True
2004,30,8,0,optimal,124452.38323460985,0.47792533300525974,0.0,OPTIMAL,True,124452.38323460985,0.07371733299805783,0.0,124444.7085153111,6.166791747398913e-05,1.4696190466347079,True
2004,30,8,3,optimal,124335.47421657798,0.5638924999948358,0.0,OPTIMAL,True,124335.47421657798,0.023823374998755753,0.0,124316.79885624995,0.0001502013841640462,16.300002323763294,True
2004,30,8,5,optimal,124282.64272685125,0.2905034170107683,0.0,OPTIMAL,True,124282.64272685125,0.019338790996698663,0.0,124282.64272685125,0.0,0.5454927060571322,True
2005,12,8,0,optimal,59491.41227696748,0.05273887500516139,0.0,OPTIMAL,True,59491.41227696748,0.011209417003556155,0.0,59483.24066396342,0.00013735785874463595,14.17845397868026,True
2005,12,8,1,optimal,59432.01992137032,0.04068854199431371,0.0,OPTIMAL,True,59432.01992137033,0.003907375008566305,7.275957614183426e-12,59432.01992137032,0.0,3.9473726809110374,True
2005,12,8,3,optimal,59335.48287785395,0.05234316700079944,0.0,OPTIMAL,True,59335.48287785395,0.011828792004962452,0.0,59329.11559016191,0.00010730994985153462,6.542306185946728,True
2005,20,8,0,optimal,107878.83179500519,0.16051120799966156,0.0,OPTIMAL,True,107878.83179500519,0.01693666700157337,0.0,107843.92491423774,0.00032357488662631824,27.080635210723848,True
2005,20,8,2,optimal,107732.1338025083,0.14123991700762417,0.0,OPTIMAL,True,107732.13380250828,0.026205874994047917,1.4551915228366852e-11,107732.1338025083,0.0,0.33086328442783497,True
2005,20,8,4,optimal,107651.17977117389,0.2696042919997126,0.0,OPTIMAL,True,107651.17977117389,0.048085542002809234,0.0,107642.01622148772,8.512261273540297e-05,12.021267455965813,True
2005,30,8,0,optimal,131205.43991516597,0.32814379200863186,0.0,OPTIMAL,True,131205.43991516597,0.027026333002140746,0.0,131189.26756476922,0.00012325975513826292,4.063113175149471,True
2005,30,8,3,optimal,131027.86163492502,0.2960982079966925,0.0,OPTIMAL,True,131027.86163492505,0.033701082997140475,2.9103830456733704e-11,131027.86163492502,0.0,1.1365049683897155,True
2005,30,8,5,optimal,130943.8085236173,0.40721620799740776,0.0,OPTIMAL,True,130943.80852361734,0.05271112499758601,2.9103830456733704e-11,130943.8085236173,0.0,0.21047365504355753,True
